time,species,speed,perc,,,,,,,,,,
0,Spathiphyllum wallisii ,fast,1,,,,,,,,,,
0.083,Spathiphyllum wallisii ,fast,37.25,,,,,,,,,,
0.17,Spathiphyllum wallisii ,fast,42.12,,,,,,,,,,
0.25,Spathiphyllum wallisii ,fast,47.42,,,,,,,,,,
0.33,Spathiphyllum wallisii ,fast,54.01,,,,,,,,,,
0.42,Spathiphyllum wallisii ,fast,59.46,,,,,,,,,,
0.5,Spathiphyllum wallisii ,fast,62.18,,,,,,,,,,
0.58,Spathiphyllum wallisii ,fast,64.76,,,,,,,,,,
0.66,Spathiphyllum wallisii ,fast,66.91,,,,,,,,,,
0.75,Spathiphyllum wallisii ,fast,68.91,,,,,,,,,,
0.83,Spathiphyllum wallisii ,fast,69.48,,,,,,,,,,
0.91,Spathiphyllum wallisii ,fast,70.49,,,,,,,,,,
1,Spathiphyllum wallisii ,fast,73.21,,,,,,,,,,
1.08,Spathiphyllum wallisii ,fast,73.21,,,,,,,,,,
1.16,Spathiphyllum wallisii ,fast,74.93,,,,,,,,,,
1.25,Spathiphyllum wallisii ,fast,75.21,,,,,,,,,,
1.33,Spathiphyllum wallisii ,fast,77.51,,,,,,,,,,
1.41,Spathiphyllum wallisii ,fast,77.94,,,,,,,,,,
1.5,Spathiphyllum wallisii ,fast,78.22,,,,,,,,,,
1.58,Spathiphyllum wallisii ,fast,91.83,,,,,,,,,,
1.67,Spathiphyllum wallisii ,fast,94.13,,,,,,,,,,
1.75,Spathiphyllum wallisii ,fast,94.99,,,,,,,,,,
1.83,Spathiphyllum wallisii ,fast,94.84,,,,,,,,,,
1.92,Spathiphyllum wallisii ,fast,95.56,,,,,,,,,,
2,Spathiphyllum wallisii ,fast,95.56,,,,,,,,,,
2.08,Spathiphyllum wallisii ,fast,95.7,,,,,,,,,,
2.16,Spathiphyllum wallisii ,fast,96.13,,,,,,,,,,
2.25,Spathiphyllum wallisii ,fast,96.56,,,,,,,,,,
2.33,Spathiphyllum wallisii ,fast,97.28,,,,,,,,,,
2.41,Spathiphyllum wallisii ,fast,97.42,,,,,,,,,,
2.5,Spathiphyllum wallisii ,fast,98.57,,,,,,,,,,
2.58,Spathiphyllum wallisii ,fast,98.57,,,,,,,,,,
2.66,Spathiphyllum wallisii ,fast,100,,,,,,,,,,
2.75,Spathiphyllum wallisii ,fast,98.71,,,,,,,,,,
2.83,Spathiphyllum wallisii ,fast,99.86,,,,,,,,,,
2.91,Spathiphyllum wallisii ,fast,99.86,,,,,,,,,,
3,Spathiphyllum wallisii ,fast,99.57,,,,,,,,,,
0,Spathiphyllum wallisii ,fast,0.84,,,,,,,,,,
0.083,Spathiphyllum wallisii ,fast,46.53,,,,,,,,,,
0.17,Spathiphyllum wallisii ,fast,60.53,,,,,,,,,,
0.25,Spathiphyllum wallisii ,fast,72.53,,,,,,,,,,
0.33,Spathiphyllum wallisii ,fast,78.63,,,,,,,,,,
0.42,Spathiphyllum wallisii ,fast,80.95,,,,,,,,,,
0.5,Spathiphyllum wallisii ,fast,82.63,,,,,,,,,,
0.58,Spathiphyllum wallisii ,fast,84.21,,,,,,,,,,
0.66,Spathiphyllum wallisii ,fast,85.58,,,,,,,,,,
0.75,Spathiphyllum wallisii ,fast,86.42,,,,,,,,,,
0.83,Spathiphyllum wallisii ,fast,87.37,,,,,,,,,,
