species,speed,irrigation,position x,position y,value
Substrate only,fast,before,a,1,0.017
Substrate only,fast,before,b,1,0.05
Substrate only,fast,before,c,1,0.023
Substrate only,fast,before,d,1,0.014
Substrate only,fast,before,a,2,0.025
Substrate only,fast,before,b,2,0.058
Substrate only,fast,before,c,2,0.033
Substrate only,fast,before,d,2,0.05
Substrate only,fast,before,a,3,0.033
Substrate only,fast,before,b,3,0.025
Substrate only,fast,before,c,3,0.037
Substrate only,fast,before,d,3,0.024
Substrate only,fast,before,a,4,0.052
Substrate only,fast,before,b,4,0.066
Substrate only,fast,before,c,4,0.036
Substrate only,fast,before,d,4,0.037
Substrate only,fast,before,a,1,0.234
Substrate only,fast,before,b,1,0.015
Substrate only,fast,before,c,1,0.015
Substrate only,fast,before,d,1,0.026
Substrate only,fast,before,a,2,0.018
Substrate only,fast,before,b,2,0.029
Substrate only,fast,before,c,2,0.035
Substrate only,fast,before,d,2,0.035
Substrate only,fast,before,a,3,0.045
Substrate only,fast,before,b,3,0.027
Substrate only,fast,before,c,3,0.034
Substrate only,fast,before,d,3,0.025
Substrate only,fast,before,a,4,0.056
Substrate only,fast,before,b,4,0.049
Substrate only,fast,before,c,4,0.046
Substrate only,fast,before,d,4,0.059
Substrate only,fast,before,a,1,0.038
Substrate only,fast,before,b,1,0.039
Substrate only,fast,before,c,1,0.04
Substrate only,fast,before,d,1,0.022
Substrate only,fast,before,a,2,0.022
Substrate only,fast,before,b,2,0.048
Substrate only,fast,before,c,2,0.05
Substrate only,fast,before,d,2,0.052
Substrate only,fast,before,a,3,0.046
Substrate only,fast,before,b,3,0.031
Substrate only,fast,before,c,3,0.056
Substrate only,fast,before,d,3,0.022
Substrate only,fast,before,a,4,0.088
Substrate only,fast,before,b,4,0.111
Substrate only,fast,before,c,4,0.054
Substrate only,fast,before,d,4,0.043
Spathiphyllum wallisii ,fast,before,a,1,0.018
Spathiphyllum wallisii ,fast,before,b,1,0.031
Spathiphyllum wallisii ,fast,before,c,1,0.021
Spathiphyllum wallisii ,fast,before,d,1,0.038
Spathiphyllum wallisii ,fast,before,a,2,0.03
Spathiphyllum wallisii ,fast,before,b,2,0.029
Spathiphyllum wallisii ,fast,before,c,2,0.034
Spathiphyllum wallisii ,fast,before,d,2,0.045
Spathiphyllum wallisii ,fast,before,a,3,0.027
Spathiphyllum wallisii ,fast,before,b,3,0.025
Spathiphyllum wallisii ,fast,before,c,3,0.027
Spathiphyllum wallisii ,fast,before,d,3,0.035
Spathiphyllum wallisii ,fast,before,a,4,0.026
Spathiphyllum wallisii ,fast,before,b,4,0.034
